,0
review_count,0.011448443844894296
game_count,0.0017612733006955317
playtime_forever,0.018443434156653726
playtime_at_review,0.009586323305056155
playtime_last_two_week,0.00038211692445844214
voted_up,0.009543993103068082
votes_up,0.007182550328048265
votes_funny,0.0020753029874116535
comment_count,0.006775460990026572
steam_purchase,0.013423929160862658
received_for_free,0.0013270765584039168
written_during_early_access,0.005999052283073736
compound,0.005205735657047406
neg,0.015722219641849833
neu,0.0074913080996115156
pos,0.015031354923459084
length,0.027713563775352945
readability_score,0.007750541458893423
brevity,0.012596853694986088
