,0
review_count,0.007243528690673795
game_count,0.0
playtime_forever,0.0
playtime_at_review,0.0
playtime_last_two_week,0.003045237402608203
voted_up,0.0051208396964401715
votes_up,0.008703069562633114
votes_funny,0.0008016385592408692
comment_count,0.0069736981479435745
steam_purchase,0.010783225308851785
received_for_free,0.0
written_during_early_access,0.006369074609602787
compound,0.0705724188467558
neg,0.03940079056508239
neu,0.05172517245782782
pos,0.04306994916631357
length,0.12445937189294654
readability_score,0.030768901345632926
brevity,0.10565344485878025
