,0
review_count,0.010110272525045705
game_count,0.0
playtime_forever,0.03530977060487084
playtime_at_review,0.04283258944768553
playtime_last_two_week,0.0
voted_up,0.08016858518962744
votes_up,0.03153035792755121
votes_funny,0.00842197621662688
comment_count,0.028904751669546425
steam_purchase,0.019073962494828844
received_for_free,0.005429398816758413
written_during_early_access,0.042885830270599
compound,0.040587134368654354
neg,0.03992602870176398
neu,0.03538843049955531
pos,0.06716611916089743
length,0.06588152870000741
readability_score,0.039793822196794615
brevity,0.08660939611398533
