0.0024,similarity_inner
review_count,0.002413792559914713
game_count,0.0160505326583603
playtime_forever,-0.011837177922250863
playtime_at_review,-0.01747672017784832
playtime_last_two_week,-0.03147833105490684
voted_up,-0.03995232872469951
votes_up,-0.015798160770911243
votes_funny,0.03684634965455012
comment_count,-0.00378386793399571
steam_purchase,0.08327491003672118
received_for_free,-0.009564466280166254
written_during_early_access,-0.09901407217464872
compound,-0.03516888242314261
neg,-0.01963798342038296
neu,0.07549946645639782
pos,-0.06548538100369306
length,-0.0515361974269165
readability_score,-0.029301640888387166
brevity,-0.08235781349924985
similarity_between,-0.47448780606120455
similarity_inner,1.0
response_length,-0.06932407366044852
