recommendationid,reviewerid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week
160237097,76561199474041853,2,0,10987,435,4450
100139324,76561198156302290,9,102,24096,4197,0
100113758,76561198057600993,280,3252,35,35,0
100061666,76561199026379380,28,113,4069,2663,0
100021307,76561199051883262,4,0,427,427,0
100006794,76561199047421612,20,39,1621,872,0
99962123,76561198369292916,1,0,2146,2004,0
99961817,76561198007933396,16,316,17243,17151,0
99887211,76561198443822167,9,0,4801,3176,0
99863560,76561198093440740,20,0,2585,2585,0
99835941,76561198886148790,7,71,703,703,0
99811937,76561198919241732,6,0,85,85,0
99292437,76561198009912275,6,0,464,464,0
99286594,76561198893466063,8,0,8442,2023,0
99257617,76561198049761512,7,0,30821,2312,0
99254371,76561197988066623,21,0,216,216,0
99210010,76561198043090494,3,0,2231,2167,0
99197526,76561198308875157,47,112,789,765,0
99193063,76561199072160100,79,183,48,48,0
99140617,76561198036058576,6,0,88644,85460,0
99065830,76561198282749506,60,286,589,589,0
98973876,76561198278243398,29,256,685,685,0
93995248,76561198041805909,236,0,30,30,0
91769959,76561198069559660,2,0,92738,71518,0
91765863,76561198935131930,12,0,317,317,0
91746922,76561198040762042,42,0,38253,1634,0
91727992,76561197998039445,49,193,253,253,0
91659176,76561199147138386,1,5,771,766,0
91607952,76561198152432282,34,67,10035,9892,0
91605230,76561198003991772,17,0,826,826,0
91540179,76561198939234986,10,7,13257,13176,0
91526620,76561198856430822,2,70,23630,10779,0
91482613,76561198450434584,31,0,1249,794,0
91406063,76561198345125256,203,152,96,96,0
91378368,76561198038046971,24,285,27,27,0
91352637,76561198052604064,9,0,403,111,0
91335725,76561198954226070,92,0,420,420,0
91325707,76561199146462182,12,0,9518,5738,622
91324204,76561197995772481,9,0,2987,2987,0
91302057,76561199026937717,27,82,11256,278,0
91289505,76561198078197527,11,0,30013,29532,0
91274122,76561198273461126,19,0,6323,2367,0
91266832,76561198055191057,38,0,26514,26420,0
91217436,76561198011050862,65,0,3247,147,0
91169991,76561198450321016,6,63,5,5,0
91124625,76561197983581671,11,452,1431,1431,0
91121766,76561198007456195,3,0,960,818,0
89283445,76561198051895840,65,0,86,86,0
89281453,76561198349219094,56,0,964,315,0
89213789,76561198886207081,6,51,10351,5540,0
89201528,76561198106314430,1,0,2333,1949,0
89177578,76561197972097765,22,0,57101,6513,1809
89054459,76561198052713816,28,65,56,56,0
88897983,76561198110448381,1,67,2760,2687,0
88883128,76561198356011110,26,93,284,284,0
88867742,76561198073277199,12,0,1599,1599,0
88858645,76561197974742269,55,0,7336,7279,0
88848090,76561197977122919,25,0,5430,5430,0
88782594,76561199014868071,7,0,1744,1633,0
88738473,76561197989014370,3,0,34596,34318,0
88726015,76561198964919921,6,0,17,17,0
88641680,76561198048833975,27,235,73,73,0
88625089,76561198723613881,23,0,2099,600,0
88486151,76561197984423495,74,336,27802,5,0
88483335,76561198970666809,18,0,4035,3067,0
88433788,76561198270979780,9,35,18,18,0
88391734,76561198265086565,35,59,237,237,0
88292483,76561197987560331,16,0,524,521,0
88098137,76561197995121383,10,0,2130,1680,0
88077105,76561198446425787,3,14,6439,6439,0
88006295,76561198135637044,69,253,547,547,0
87944114,76561198143006162,4,0,60263,60052,0
87942919,76561198984439109,14,29,984,977,0
87926928,76561198010675898,31,0,12630,12630,0
87924165,76561197966489827,28,576,2845,1023,0
87732560,76561198133579317,6,0,39,39,0
