recommendationid,readability_score
51171015,100.0
48434843,63.82576687116567
49730158,71.70251724137933
149973515,100.0
149618805,92.43000000000002
136210293,76.52599006828058
122210273,76.9246983738416
73172855,78.00428571428574
70648654,71.02250000000002
61970317,66.54375000000002
51311396,100.0
48910893,82.76573643410855
48593037,76.87717460317461
155953357,62.79048076923078
152707755,59.76028571428574
152564110,82.00310773480663
131784587,88.810625
129736529,79.04993377483444
77062612,76.95264227642278
75121868,73.68163197969545
72254456,66.29957028852057
71431621,100.0
58966464,66.41883647798745
54606597,49.270812324930006
50551203,70.61362745098042
50448182,75.60016129032262
48956290,83.15216549295775
48890682,78.69390909090912
48760443,72.5969230769231
48749568,100.0
48739417,59.53118748429256
48738476,86.70500000000001
48727369,54.14000000000003
48720263,68.2514138566627
48713451,100.0
48686370,74.44000000000004
48685420,29.608636363636407
48668298,85.10258139534885
48659268,100.0
48658638,57.33750000000002
48657677,71.70500000000001
48656859,63.40535714285717
124571898,63.94250000000001
120015695,60.201000000000036
106132667,80.69000000000003
72639078,65.12455421686751
69162968,63.19436090225565
63829088,81.0338888888889
54750070,64.79170138888891
160300903,61.76878571428574
153260195,100.0
153022362,74.39217948717952
152953165,42.31975945017183
92124344,100.0
73589538,100.0
69790774,100.0
65213001,69.718427672956
64754166,22.644109589041108
55169123,72.02436162870947
50042003,63.020000000000024
49543791,74.90954545454547
60455687,26.446428571428584
160177517,93.12454545454547
153737898,71.38250000000001
129063597,73.1421739130435
128756732,78.9704761904762
128698240,100.0
128687152,84.15181818181821
50689328,60.4795
161811420,69.79787735849058
158903157,100.0
158686750,100.0
151360402,63.800256410256424
143325892,77.03320677570095
142098576,103.6767948717949
142096678,100.0
141433986,47.25212643678164
140946414,54.40152610441767
140438264,100.0
138591256,61.540153256705
138122084,63.69500000000001
137878645,84.85805767599665
137303055,100.0
132957275,74.08125000000003
132822300,86.21909726637
131715210,70.21045454545455
130416594,100.0
128562102,100.0
127916173,67.93764339826839
127335136,68.78833701250922
125553130,63.62317307692311
123826303,80.76564215686278
123382290,61.656379310344846
122000424,100.0
121704297,76.28241935483874
120930726,71.07015883821194
120532395,89.60000000000004
119847123,101.27068181818181
119584091,100.0
119383240,80.2499404761905
118962420,100.0
118951874,95.04900679869941
117741036,100.0
117461277,76.30564625850343
116687813,-37.2078625954198
116451122,56.37808823529414
116440824,58.737522123893825
115870155,100.0
115743386,100.0
113544790,72.6570430672269
113532292,63.020000000000024
112422094,92.965
108661192,100.0
102748815,100.0
102157828,44.26220588235296
102064615,77.84117439293598
101904029,69.78005403687224
101546870,100.0
100112947,72.07326923076926
99801275,33.67591463414638
63840205,85.47417647058826
59411603,100.0
57309652,100.0
56989463,61.14757621951222
55476373,100.0
55453371,96.00383870967744
55448526,62.15290983606559
55413081,100.0
55408490,80.9298076923077
55336527,71.96110255752289
55326323,55.81935433070866
110789961,62.11708333333337
55288506,70.99357142857143
79687824,78.58096153846155
67564044,100.0
52204895,74.41025210084035
51293580,85.81178217821783
51084118,54.45000000000002
50725651,100.0
50648963,67.90331060606064
50554865,64.6875287356322
54862878,73.55404545454546
54754066,77.25975000000001
54543750,91.43464285714288
54507477,77.9054808959157
84197012,63.86500000000004
153898651,67.48818181818186
144550965,61.68606965174132
140051039,67.32894736842107
137191690,100.0
134672258,84.56531531531532
134182133,56.974119318181835
133546087,87.24581613508444
132773986,98.4741314163498
132616936,63.10363636363638
132197708,88.49293478260873
133297672,68.93950000000002
119554212,74.26094827586209
116825133,100.0
101684737,72.95894194756555
101516102,92.30875
101503423,69.45625000000003
95754192,76.01842197035747
95294819,80.18561403508772
95202831,68.34440983606561
94255106,57.793103448275886
93891431,60.294964953271034
93853977,55.568295158771505
91962408,57.79738709677423
91656712,78.54895270270272
91084173,72.3793103448276
91054305,78.12846153846156
90988795,60.494336917562734
90897167,69.08523319908281
89456891,83.65526315789475
79609717,48.36000000000004
79215099,59.80728892187793
79080518,70.5584397224134
76380786,68.5093674803255
75602047,80.83543918918923
74567051,-32.139687499999965
74551939,76.46126947040501
71383533,76.21492644655117
69892201,81.37694444444446
69012764,60.51250273822566
67631662,73.50036682179032
67139599,100.0
66617649,100.0
63578441,72.72000000000003
63131968,67.59012578616354
56241846,52.432759124087596
55976407,100.0
55796045,76.8864655172414
55794896,55.21287878787879
55791211,100.0
55790420,56.97668539325845
55786140,100.0
55782680,79.48250000000003
55781743,100.0
55778072,73.66671511627908
55776446,69.7975064935065
55765298,79.32142857142858
55754301,63.46395348837211
55752078,84.17956896551725
55741884,63.50309523809524
55741598,100.0
55737231,66.7338768115942
55723719,-15.218673469387724
55710460,100.0
55661501,85.52677551020409
55661490,51.89259708737866
55659085,71.81414285714287
55657467,74.69151079136692
55651421,74.81799598393577
55650049,67.54
55646978,85.06930769230772
55646905,71.72818840579711
55643971,88.25758695652175
55640081,83.37750000000003
55636927,58.25710657580443
55635728,100.0
55634911,80.27355403348557
55634903,68.86435828877009
55634732,100.0
55634621,100.0
55631065,76.97144736842105
55631029,73.71252747252748
109429510,57.55785714285717
72765424,23.265000000000015
50245636,64.42335051546394
52505245,100.0
51005880,63.69500000000001
49246118,60.459210526315815
61657292,75.24158536585367
61477737,60.14250000000003
60013523,33.33000000000001
49271671,71.72000000000004
92158177,89.64909090909092
50983626,67.72091603053437
86431211,67.52495918517431
49494978,61.345978595513856
115580078,69.78633333333336
114735873,78.78111111111113
107164316,82.47500000000001
100084790,67.15882352941179
96622086,100.0
95667166,69.40640449438203
94410015,100.0
93576317,73.98318181818185
92739223,29.80432432432434
92363556,100.0
91991647,100.0
78159346,100.0
78109821,65.56627371273716
77352637,69.45788340336135
76738700,76.14539654574862
76738114,61.50815397350995
76689151,68.84935897435899
76683595,71.6802884615385
76682024,71.93261363636367
76666487,73.31698977505114
76649913,100.0
76638183,79.10065517241381
76631804,63.86500000000004
76628440,90.32543988269796
76620207,64.71785714285716
76616740,67.39387200040332
76599031,50.659375000000026
76595200,64.22999999999999
76592962,75.4154605263158
76591413,100.0
76583011,67.66040437487459
76582858,50.14136363636368
76580792,59.41519553072625
76565305,100.0
76563290,83.06771002710029
76550590,59.39605512596658
49295500,65.38452811244981
72411502,79.85113636363639
77533832,75.85681693989073
75509099,72.43928571428572
69537752,60.28937179487184
67507859,78.88479518072293
65953884,67.7370488807675
64782197,57.23000000000002
61837780,73.07404761904763
60952307,62.65939393939395
49426734,73.52305555555556
125596434,65.68069915254239
125554471,74.77314465408806
125288527,78.50209090909092
125132969,100.0
124912084,76.1147012987013
124533324,100.0
124148470,68.52000000000004
124036913,60.82034722222224
123953622,78.48750000000003
123702070,57.667857142857144
123631882,74.57911564625854
123442020,100.0
123438279,82.01250000000003
123257821,60.15920731707318
123022931,100.0
122948489,87.01134920634922
122521378,100.0
122399791,100.0
122331895,70.14470588235295
122230689,100.0
122152428,100.0
122118094,54.22166666666668
121840126,51.63630434782611
121826348,100.0
121705822,100.0
121644051,46.60091127098323
121624616,62.55696428571433
121619432,60.591481553210045
121616029,83.07928571428573
121553654,63.63685126582281
121483499,69.5459523809524
121300564,22.241940298507473
121286611,68.69142857142859
