topic_0,topic_1,topic_2,recommendationid
0.19285437809967765,0.1694357116080183,0.6377099102923041,51171015
0.9884612685958315,0.005688966889110246,0.005849764515058168,48434843
0.9829892097877687,0.008075260194027498,0.00893553001820385,49730158
0.07637841509276883,0.8451472206231383,0.07847436428409285,149973515
0.038927998791771,0.037583052527645086,0.9234889486805838,149618805
0.5217557207897487,0.4737620206568746,0.004482258553376626,136210293
0.6178871859828889,0.21898532707217472,0.16312748694493628,122210273
0.982333038956846,0.008692720134631899,0.008974240908522058,73172855
0.3656104925179047,0.369184127792676,0.2652053796894194,70648654
0.506470822917349,0.006175076805971471,0.4873541002766795,61970317
0.052455199790813645,0.05542390192773508,0.8921208982814512,51311396
0.34920609053175206,0.381245223894565,0.2695486855736829,48910893
0.2198695242530418,0.14193516124371447,0.6381953145032437,48593037
0.32142619558134256,0.5453836612301046,0.13319014318855277,155953357
0.28793550468445395,0.6990410019390566,0.013023493376489434,152707755
0.5381101208863269,0.005297356959106412,0.4565925221545667,152564110
0.0138771695150757,0.9721642590363293,0.013958571448594968,131784587
0.5475241050027855,0.44671232467929173,0.00576357031792291,129736529
0.7228340289372421,0.013829952005923376,0.2633360190568344,77062612
0.8959145809907634,0.0022280943353554287,0.10185732467388123,75121868
0.10731222735753757,0.8873214415195887,0.0053663311228737106,72254456
0.5870437771183328,0.06642730450963555,0.34652891837203165,71431621
0.2065471306868,0.19629492281351318,0.5971579464996869,58966464
0.9804943681606617,0.010011811430714456,0.009493820408623828,54606597
0.9687914095845651,0.015416478846311872,0.01579211156912308,50551203
0.0595748160648515,0.16924772697125673,0.7711774569638917,50448182
0.9587209845429939,0.038798795359933795,0.0024802200970721654,48956290
0.01760795284489861,0.02466724731897397,0.9577247998361275,48890682
0.24443974144973477,0.01444513866319079,0.7411151198870743,48760443
0.07129209454420428,0.08329801207870076,0.8454098933770949,48749568
0.9742943441720743,0.02324258894306944,0.002463066884856289,48739417
0.03148226853107969,0.029248761054366357,0.9392689704145539,48738476
0.2711884372306654,0.016564289077070384,0.7122472736922643,48727369
0.07274824831374688,0.08112206136191123,0.8461296903243419,48720263
0.11665401584527456,0.7674864094556967,0.11585957469902866,48713451
0.019745390924353515,0.18779206891634437,0.7924625401593021,48686370
0.5873765354731044,0.3980465293551842,0.01457693517171143,48685420
0.8906237057670635,0.09927571159378903,0.010100582639147421,48668298
0.08971912118426958,0.8153171718327298,0.09496370698300069,48659268
0.016353181379115293,0.46050841646943075,0.523138402151454,48658638
0.6986215891876509,0.29673064276368794,0.004647768048661155,48657677
0.9722346915757608,0.013582971317593718,0.014182337106645458,48656859
0.7007831940539451,0.18970391526932326,0.10951289067673164,124571898
0.525065806579037,0.008628069981350716,0.46630612343961225,120015695
0.01768842570802681,0.965792178536713,0.01651939575526023,106132667
0.00632914394344442,0.16483774855643224,0.8288331075001233,72639078
0.588437199479256,0.19652620184162833,0.21503659867911568,69162968
0.012804341883373965,0.7516318075104892,0.23556385060613683,63829088
0.8252544491793298,0.1722809316998566,0.0024646191208137483,54750070
0.005751257189364065,0.9884173634013474,0.005831379409288486,160300903
0.8860709594671098,0.04933335323908448,0.06459568729380576,153260195
0.47028746639120156,0.2047617256402021,0.3249508079685964,153022362
0.4098139330815989,0.007546741432186697,0.5826393254862143,152953165
0.3333333333333333,0.3333333333333333,0.3333333333333333,92124344
0.6654873303154375,0.16740058354386558,0.16711208614069692,73589538
0.09264224988229826,0.8068594978465916,0.10049825227111019,69790774
0.32082590597049093,0.08572368803451903,0.59345040599499,65213001
0.8628927138244828,0.12251101224297821,0.0145962739325388,64754166
0.9901565087372485,0.004856682106862497,0.004986809155889062,55169123
0.4585492108188643,0.03291594031961331,0.5085348488615223,50042003
0.01145594975019385,0.011684220801004197,0.9768598294488019,49543791
0.015957581717232057,0.01588630121657453,0.9681561170661934,60455687
0.02097441864882142,0.9588519415575343,0.020173639793644192,160177517
0.016855759715850554,0.965973907203205,0.017170333080944428,153737898
0.14427140044177675,0.030009952593871323,0.825718646964352,129063597
