recommendationid,length
50389697,2.130333768495006
49289090,1.8061799739838869
58564659,2.012837224705172
147006145,1.8260748027008262
86109120,1.0
66598773,0.9542425094393249
49817269,1.7558748556724912
50372448,2.591064607026499
49300731,1.414973347970818
11049635,2.3159703454569174
10873344,2.4456042032735974
49215473,2.8481891169913984
51084257,2.696356388733332
10988269,2.2455126678141495
49188442,2.869818207979328
69261819,1.4913616938342726
62040946,0.6020599913279623
64380114,2.3180633349627615
51233621,3.3062105081677613
40120968,0.9542425094393249
50074400,2.753583058892906
39869014,2.8733206018153985
10190249,2.763427993562937
50038930,2.7193312869837265
84192419,0.6020599913279623
22348571,1.041392685158225
9772083,2.8785217955012063
49723235,2.6106601630898796
49304366,2.5301996982030817
50233577,2.8481891169913984
15628491,3.0488300865283495
11224505,1.1760912590556811
11914566,1.322219294733919
49619266,2.8215135284047728
7615211,2.761927838420529
99886028,1.7403626894942439
85497291,2.9836262871245345
9835109,2.0755469613925306
66699226,1.0791812460476247
47474687,2.287801729930226
21282277,1.8388490907372552
37985521,2.909556029241175
50087220,2.5740312677277184
47689451,0.6020599913279623
83399185,2.501059262217751
116734744,1.301029995663981
55109756,3.187802638718419
61485003,1.0
69149671,2.143014800254095
74866219,1.845098040014257
103005072,0.7781512503836435
49469948,2.397940008672037
45660576,3.7144135922871206
49301515,2.778874472002739
28305583,3.1461280356782377
109838547,3.03462845662532
49332600,3.144574207609616
50276629,2.506505032404872
43920218,2.7589118923979736
132849765,2.2304489213782737
43748097,3.0281644194244697
49510916,2.5921767573958667
50803970,3.270678836144706
67537000,1.7558748556724912
49342126,2.4800069429571505
50255908,1.9138138523837167
50099912,1.7075701760979363
135721618,2.7291647896927698
49784016,3.4812992733328554
49730278,2.925312091499649
146244419,0.0
17073607,2.4913616938342726
17973503,2.4756711883244296
62978740,3.2971036501492565
50759657,2.661812685537261
32322320,2.902546779313991
50934977,3.5956064348656027
17716837,2.130333768495006
55148157,2.397940008672037
33622104,2.6454222693490914
9882309,2.2278867046136734
43235737,1.5682017240669948
65506480,1.041392685158225
47630835,0.0
43879707,3.300595483889963
47664018,0.6020599913279623
9464695,1.0791812460476247
8727564,2.5465426634781307
43379472,3.3771240423464555
47915542,2.3579348470004535
45655617,2.5502283530550938
62781222,1.6020599913279623
49338325,3.3590762260592624
28655759,1.3617278360175928
48263020,3.4199557484897576
22851904,2.720985744153739
8216291,1.3979400086720375
13772061,2.041392685158225
50123632,2.600972895686748
49581897,2.807535028068853
71974684,1.8976270912904412
63241716,2.332438459915605
28651823,2.4281347940287885
148880153,1.2552725051033058
15110645,1.2304489213782739
62809879,1.0791812460476247
17024917,1.7923916894982537
15548571,1.322219294733919
49080426,2.1205739312058496
125652888,1.8920946026904801
49346436,3.3664229572259723
49376994,1.4771212547196624
46947864,2.41161970596323
9174742,0.0
13789351,1.968482948553935
55561232,2.60422605308447
38164283,2.143014800254095
