compound,neg,neu,pos,recommendationid,length,readability_score,reviewerid,appid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week,voted_up,votes_up,votes_funny,comment_count,steam_purchase,received_for_free,written_during_early_access
0.9631,0.0,0.609,0.391,2004762,2.403120521175817,57.66785714285714,76561198000836250,227000,2,398,388,388,0,1,0,0,0,0,0,0
0.5346,0.196,0.542,0.262,2083526,2.322219294733919,63.381071428571445,76561198001996421,98800,2,0,5593,2166,0,1,0,0,0,0,0,0
0.9686,0.04,0.626,0.334,2085322,2.482873583608753,66.71030303030307,76561198002028253,227000,9,1675,792,716,0,1,1,0,0,0,0,0
0.0,0.0,1.0,0.0,2089718,1.0,100.0,76561198002105607,227000,4,2854,691,691,0,1,0,0,0,0,0,0
0.9618,0.0,0.682,0.318,2110166,2.41161970596323,83.30875000000002,76561198002458522,227000,7,325,743,610,0,1,0,0,0,1,0,0
0.9531,0.058,0.44,0.502,2117483,2.271841606536499,50.433333333333366,76561198002540254,227000,20,2697,482,408,0,1,0,0,0,0,0,0
0.9458,0.054,0.745,0.201,2178239,2.720985744153739,47.60500000000005,76561198003546387,227000,8,893,705,705,0,1,0,0,0,0,0,0
0.946,0.0,0.686,0.314,2222998,2.4329692908744054,59.53333333333336,76561198004285507,227000,50,1201,629,553,0,1,0,0,0,0,0,0
0.9899,0.05,0.713,0.237,2240487,2.896526217489555,68.96516556291392,76561198004499559,227000,8,0,669,669,0,1,0,0,0,1,0,0
0.7905,0.05,0.681,0.269,2297440,2.285557309007773,70.14470588235295,76561198005363551,227000,38,0,459,459,0,1,0,0,0,1,0,0
0.7713,0.0,0.428,0.572,2353905,1.6989700043360183,100.0,76561198006230589,227000,106,1350,529,529,0,1,0,0,0,1,0,0
0.7346,0.0,0.244,0.756,2505299,1.556302500767287,100.0,76561198008429569,227000,25,0,0,0,0,1,0,0,0,1,0,0
0.8941,0.054,0.573,0.374,2531896,2.2695129442179165,20.79916666666668,76561198008872166,227000,24,0,1,0,0,1,2,0,0,1,0,0
0.8779,0.0,0.706,0.294,2573677,2.2695129442179165,76.28397058823532,76561198009449964,227000,1,0,378,378,0,1,0,0,0,0,0,0
0.2848,0.084,0.77,0.146,2635602,2.7558748556724915,43.80509090909092,76561198010298365,227000,50,0,528,528,0,1,1,0,1,1,0,0
0.9748,0.0,0.795,0.205,2648314,2.8567288903828825,58.76440000000002,76561198010465516,227000,309,0,746,746,0,1,0,0,0,1,0,0
0.9796,0.028,0.537,0.435,2705894,2.56348108539441,55.63470394736845,76561198011388211,227000,38,0,483,411,0,1,1,0,0,1,0,0
0.9764,0.033,0.567,0.4,2708776,2.523746466811565,32.39500000000004,76561198011434489,227000,6,69,584,509,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,2808641,1.0791812460476249,100.0,76561198012931318,227000,24,0,492,492,0,1,0,0,0,0,0,0
0.9079,0.033,0.734,0.233,2810819,2.4941545940184424,61.665000000000006,76561198012962211,227000,168,0,581,581,0,1,1,0,0,1,0,0
0.991,0.009,0.63,0.362,2932053,2.730782275666389,73.06500000000003,76561198014766672,227000,398,0,185,185,0,1,5,0,0,0,0,0
-0.5411,0.262,0.634,0.104,3019384,1.968482948553935,100.0,76561198016017687,227000,83,980,80,80,0,1,0,0,0,0,0,0
0.1002,0.098,0.787,0.116,3115931,2.004321373782642,69.78500000000001,76561198017708934,227000,2,1170,1059,421,0,1,0,0,0,1,0,0
0.7003,0.081,0.733,0.187,3124442,2.444044795918076,61.38936363636367,76561198017843065,227000,142,0,1242,1242,0,1,0,0,0,0,0,0
0.7871,0.072,0.756,0.172,3195167,2.6148972160331345,40.22039800995029,76561198018778902,227000,47,0,551,474,0,1,1,0,3,0,0,0
0.4404,0.0,0.606,0.394,3378341,1.7923916894982537,100.0,76561198021720244,227000,9,295,656,320,0,1,0,0,0,1,0,0
-0.6808,0.697,0.303,0.0,3379736,1.230448921378274,100.0,76561198021742591,239820,1,0,1621,630,0,1,0,0,0,1,0,0
0.9331,0.0,0.78,0.22,3386306,2.5877109650189114,44.52000000000001,76561198021844137,227000,5,0,1222,604,0,1,0,0,0,1,0,0
0.9017,0.0,0.419,0.581,3481436,1.89209460269048,100.0,76561198023484674,227000,40,6298,478,478,0,1,0,0,0,0,0,0
0.9229,0.049,0.663,0.288,3505640,2.3463529744506384,57.72777027027027,76561198023878629,227000,14,1672,761,735,0,1,0,0,0,0,0,0
0.7889,0.0,0.223,0.777,3524606,1.447158031342219,100.0,76561198024184638,227000,5,1733,588,478,0,1,0,0,0,0,0,0
0.8834,0.066,0.697,0.237,3543020,2.392696953259666,51.83681818181819,76561198024464126,227000,14,0,655,655,0,1,2,0,0,1,0,0
0.872,0.095,0.699,0.206,3551410,2.5854607295085006,80.59400000000001,76561198024583914,227000,17,0,541,541,0,1,0,0,0,1,0,0
0.8832,0.0,0.792,0.208,3579785,2.436162647040756,25.883673469387787,76561198024976479,227000,193,526,489,385,0,1,1,0,3,1,0,0
0.802,0.0,0.523,0.477,3598007,1.9637878273455551,100.0,76561198025122943,227000,11,0,403,403,0,1,0,0,0,1,0,0
0.802,0.0,0.526,0.474,3599043,1.6989700043360183,100.0,76561198025132720,227000,3,419,393,393,0,1,0,0,0,1,0,0
0.5106,0.0,0.829,0.171,3637645,1.9493900066449128,100.0,76561198025474788,227000,6,0,489,489,0,1,0,0,0,0,0,0
0.1174,0.108,0.769,0.123,3643351,2.864511081058392,69.50644484412473,76561198025529387,227000,78,0,406,406,0,1,0,0,0,0,0,0
0.998,0.019,0.795,0.186,3647003,3.4516329474569907,52.22571900826449,76561198025566272,227000,40,0,552,552,0,1,1,0,0,1,0,0
0.836,0.0,0.628,0.372,3754085,1.982271233039568,100.0,76561198026999250,227000,41,442,164,164,0,1,1,0,0,0,0,0
0.9825,0.0,0.62,0.38,4014675,2.4756711883244296,69.59336206896553,76561198030734654,227000,5,0,1031,1031,0,1,0,0,0,0,0,0
0.7672,0.0,0.724,0.276,4021606,2.0293837776852093,84.17695652173914,76561198030839450,227000,86,730,1686,1686,0,1,3,0,2,0,0,0
-0.8357,0.31,0.69,0.0,4151163,2.2095150145426303,71.13833333333336,76561198032868512,47410,205,0,3768,3768,0,0,0,0,0,0,0,0
0.9772,0.04,0.745,0.215,4163445,2.8555191556678,75.8420375807399,76561198033101690,227000,2,0,683,683,0,1,1,0,0,1,0,0
0.9812,0.03,0.582,0.389,4181624,2.5526682161121927,76.36529411764708,76561198033387619,227000,7,0,512,512,0,1,0,0,0,1,0,0
0.7397,0.0,0.82,0.18,4238109,2.3560258571931225,57.72777027027027,76561198034315837,227000,758,7685,568,493,0,1,37,0,1,0,0,0
0.3182,0.0,0.777,0.223,4256694,1.7923916894982537,100.0,76561198034593926,227000,21,366,362,362,0,1,0,0,1,0,0,0
0.0,0.0,1.0,0.0,4356535,1.3617278360175928,100.0,76561198035923161,230190,20,0,310,33,0,1,0,0,0,0,0,1
0.7092,0.056,0.835,0.109,4405531,2.636487896353365,71.61471385542171,76561198036616979,227000,8,0,413,413,0,1,0,0,0,1,0,0
0.9965,0.061,0.604,0.335,4417494,2.9489017609702133,59.9983154121864,76561198036818867,227000,15,0,921,678,0,1,69,1,1,1,0,0
0.9496,0.038,0.874,0.088,4419127,3.273232834043045,41.14261363636365,76561198036845928,230190,16,1243,1645,90,0,1,15,0,0,0,0,1
0.9545,0.0,0.635,0.365,4512498,2.2624510897304293,52.79500000000003,76561198038340489,227000,11,0,192,164,0,1,0,0,0,1,0,0
0.9826,0.0,0.592,0.408,4561390,2.4099331233312946,67.10875,76561198039046652,227000,2,0,577,577,0,1,0,0,0,0,0,0
0.5134,0.0,0.844,0.156,4816594,2.02530586526477,72.59196428571431,76561198042132049,41900,12,0,3459,60,0,1,0,0,0,0,0,0
0.7548,0.0,0.482,0.518,4824619,1.6720978579357173,100.0,76561198042206553,227000,7,0,1009,1009,0,1,0,0,0,1,0,0
-0.148,0.1,0.797,0.103,4860969,2.822168079368017,50.88691371681418,76561198042590045,227000,50,479,316,316,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,4883269,3.3586960995738098,156.82100000000003,76561198042842903,227000,61,2795,358,287,0,1,0,0,3,1,0,0
0.3182,0.127,0.606,0.267,4887298,1.8976270912904407,100.0,76561198042890140,227000,85,2477,211,139,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,4909595,2.004321373782642,38.20000000000002,76561198043175428,227000,5,452,681,217,0,1,0,0,2,1,0,0
0.9859,0.054,0.637,0.31,5056612,2.707570176097936,69.43333333333334,76561198044602606,227000,542,7479,602,529,0,1,1,0,2,1,0,0
0.9589,0.0,0.485,0.515,5062481,2.217483944213906,21.930000000000035,76561198044661776,227000,2,0,938,936,0,1,0,0,0,0,0,0
0.3818,0.115,0.742,0.142,5062541,2.650307523131936,74.12588235294119,76561198044662288,227000,10,0,400,400,0,1,0,0,0,1,0,0
0.7568,0.0,0.316,0.684,5109757,1.5682017240669948,100.0,76561198045142218,227000,9,4055,673,610,0,1,0,0,0,0,0,0
0.777,0.076,0.713,0.21,5198948,2.5340261060561344,70.30927595628417,76561198046288510,227000,5,1970,2317,1945,0,1,1,0,0,0,0,0
0.5709,0.0,0.779,0.221,5215329,1.8573324964312683,100.0,76561198046505969,227000,2,0,901,890,0,1,0,0,0,1,0,0
0.7339,0.125,0.661,0.214,5441111,2.465382851448418,76.35901886792456,76561198049810779,227000,16,0,697,627,0,1,0,0,0,1,0,0
0.862,0.0,0.511,0.489,5507619,1.9395192526186185,100.0,76561198050970713,232050,64,413,914,493,0,1,1,0,0,1,0,0
0.9841,0.0,0.764,0.236,5562077,2.7993405494535817,76.33381226053642,76561198051962093,227000,8,288,1434,751,0,1,1,0,0,1,0,0
0.8065,0.0,0.491,0.509,5589278,1.7781512503836434,100.0,76561198052434240,227000,1,0,715,715,0,1,0,0,0,1,0,0
0.8481,0.031,0.81,0.159,5674686,2.5526682161121927,45.74096774193549,76561198053908804,227000,5,0,946,828,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,5745291,1.1139433523068367,100.0,76561198054886451,227000,4,322,99,15,0,1,0,0,0,1,0,0
0.991,0.0,0.581,0.419,5758862,2.672097857935717,61.93176923076925,76561198054966168,227000,9,800,331,168,0,1,1,0,0,1,0,0
0.9788,0.049,0.707,0.244,5774773,2.718501688867274,71.26344897959186,76561198055057709,227000,20,0,289,289,0,1,0,0,1,1,0,0
0.8955,0.0,0.769,0.231,5836984,2.3283796034387376,47.60536585365858,76561198055497009,230190,1,0,367,80,0,1,0,0,0,1,0,1
0.9628,0.033,0.679,0.288,5965200,2.56348108539441,42.09736842105266,76561198056290009,227000,48,3905,919,833,0,1,8,1,0,0,0,0
0.9864,0.025,0.544,0.431,5975170,2.5440680443502752,55.82945355191259,76561198056449434,227000,16,0,414,414,0,1,1,0,1,1,0,0
0.6249,0.0,0.549,0.451,6268118,1.6532125137753435,100.0,76561198062530471,227000,21,539,491,474,0,1,1,0,0,1,0,0
0.0,0.0,0.0,0.0,6313773,0.0,100.0,76561198063512771,227000,14,0,979,825,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,6331416,1.0,100.0,76561198063958903,227000,4,0,408,408,0,1,0,0,0,1,0,0
0.9538,0.076,0.593,0.332,6437507,2.57978359661681,54.37659016393442,76561198066299742,227000,3,0,1584,713,0,1,1,0,0,1,0,0
0.8834,0.039,0.752,0.209,6500181,2.429752280002408,63.77000000000002,76561198067607781,227000,9,0,544,544,0,1,1,0,0,1,0,0
0.8735,0.058,0.742,0.2,6583925,2.477121254719662,51.56426470588238,76561198069669925,227000,16,0,593,486,0,1,0,0,0,0,0,0
0.6162,0.0,0.332,0.668,6614123,1.2041199826559246,100.0,76561198070515040,227000,11,565,557,557,0,1,0,0,0,1,0,0
0.8074,0.0,0.657,0.343,6818752,1.9030899869919435,100.0,76561198076219519,227000,6,0,670,306,0,1,0,0,0,1,0,0
0.7708,0.0,0.785,0.215,6820882,2.1789769472931693,77.28750000000002,76561198076285553,227000,8,545,449,449,0,1,0,0,0,1,0,0
0.9835,0.034,0.449,0.517,6845552,2.447158031342219,34.24644230769232,76561198077105674,227000,39,847,1030,567,0,1,4,0,0,1,0,0
0.5423,0.0,0.836,0.164,6864889,2.08278537031645,79.57576923076925,76561198077744760,227000,13,148,471,285,0,1,0,0,0,1,0,0
0.99,0.023,0.734,0.243,6889129,2.889861721258188,48.00256250000001,76561198078503582,227000,4,2735,75,0,0,1,4,0,0,0,0,0
0.8963,0.0,0.736,0.264,6891315,2.387389826338729,60.27721153846156,76561198078581038,227000,1,0,529,529,0,1,0,0,0,1,0,0
0.9923,0.029,0.585,0.386,6935215,2.77232170672292,32.831666666666706,76561198079858222,227000,28,0,841,803,0,1,1,0,0,1,0,0
0.8616,0.029,0.821,0.15,7014357,2.620136054973757,64.51642857142858,76561198082689223,227000,19,522,361,360,0,1,1,0,0,1,0,0
0.0,0.0,1.0,0.0,7017493,2.646403726223069,138.7358070388349,76561198082818027,227000,169,407,672,390,0,1,0,0,0,1,0,0
0.3612,0.0,0.906,0.094,7263687,2.296665190261531,29.745000000000037,76561198099193564,227000,57,8064,1048,281,0,1,0,0,0,0,0,0
0.9665,0.0,0.72,0.28,7293241,2.503790683057181,72.85019067796611,76561198108803380,227000,2,0,805,427,0,1,0,0,0,1,0,0
0.9871,0.012,0.743,0.245,7344117,2.853698211776174,61.47346774193551,76561198040545381,227000,37,829,598,598,0,1,18,0,1,0,0,0
0.743,0.044,0.773,0.183,7347935,2.376576957056512,68.51666666666668,76561197982404585,248450,86,0,74,74,0,0,15,0,1,1,0,0
0.0,0.0,1.0,0.0,7385535,1.3979400086720375,100.0,76561197964408942,230190,12,0,9678,478,0,1,2,0,0,0,0,1
0.836,0.0,0.553,0.447,7405927,1.8195439355418683,100.0,76561198027146057,227000,22,2523,662,660,0,1,0,0,0,0,0,0
-0.2263,0.102,0.794,0.104,7420287,2.397940008672037,59.21000000000001,76561197961167439,227000,720,1579,851,794,0,1,2,0,0,0,0,0
0.0,0.0,1.0,0.0,7484426,2.4563660331290427,163.68471014492755,76561198012465550,244850,2,0,7043,838,0,1,2,0,0,0,0,0
0.9656,0.0,0.709,0.291,7497800,2.559906625036112,44.91740112994353,76561198018351149,227000,29,0,1698,488,0,1,1,0,0,0,0,0
0.9211,0.0,0.347,0.653,7514360,1.8573324964312683,100.0,76561197970542767,227000,34,1789,483,483,0,1,0,0,0,1,0,0
0.6892,0.0,0.719,0.281,7516370,1.9294189257142929,100.0,76561198010285034,244850,5,231,306,119,0,1,0,0,0,1,0,1
0.6514,0.0,0.75,0.25,7520951,1.8976270912904407,100.0,76561198036868577,244850,1,0,2771,405,0,1,0,0,0,1,0,1
0.9584,0.0,0.379,0.621,7529556,2.110589710299249,0.2450000000000045,76561198015135618,227000,65,535,657,571,0,1,1,0,0,1,0,0
0.937,0.017,0.815,0.168,7529774,2.699837725867245,89.25125,76561197993028863,227000,10,539,382,348,0,1,1,1,0,1,0,0
0.9038,0.096,0.536,0.368,7529874,2.2095150145426303,75.42500000000001,76561198054153027,227000,1,665,1797,1797,0,1,1,1,0,0,0,0
0.9918,0.015,0.762,0.223,7543913,3.0398105541483504,52.24108247422683,76561198045354004,227000,56,589,457,448,0,1,1,0,0,1,0,0
0.2023,0.0,0.357,0.643,7544977,1.041392685158225,100.0,76561197966982182,227000,36,0,1200,708,0,1,0,0,0,1,0,0
0.9855,0.06,0.728,0.212,7557451,2.9726655922661105,56.82068965517243,76561197993879309,244850,49,0,905,495,0,1,0,0,1,1,0,1
0.9678,0.0,0.395,0.605,7559054,2.1271047983648077,33.20000000000002,76561197973194813,227000,39,711,2639,2639,0,1,0,0,0,1,0,0
0.8373,0.042,0.705,0.254,7563330,2.326335860928751,76.50153846153849,76561197982964370,227000,298,968,960,519,0,1,22,0,0,1,0,0
0.4404,0.0,0.58,0.42,7573677,1.301029995663981,100.0,76561197970436934,227000,6,0,326,326,0,1,0,0,0,1,0,0
0.7249,0.0,0.283,0.717,7576022,1.2552725051033058,100.0,76561198039851375,244850,61,459,8422,73,0,1,0,0,0,0,0,1
0.8355,0.039,0.758,0.203,7576224,2.4578818967339924,64.22999999999999,76561198044563479,227000,9,0,316,316,0,1,0,0,0,1,0,0
0.9335,0.072,0.764,0.164,7579512,2.893206753059848,64.70697183098592,76561198019745707,227000,16,0,1974,1603,0,1,0,0,1,1,0,0
0.8832,0.0,0.089,0.911,7588508,1.5051499783199058,100.0,76561197999555739,227000,16,900,584,482,0,1,0,0,0,1,0,0
0.7249,0.0,0.441,0.559,7602089,1.3424226808222062,100.0,76561198037789283,244850,12,361,1353,914,0,1,0,0,0,1,0,1
