recommendationid,brevity
51336824,20
50874121,134
48775021,80
49303669,176
26038007,120
49315809,176
11390818,91
49546735,213
128266104,16
49300439,54
38145867,7
46376618,38
47844487,118
41637689,76
49348100,126
153868328,4
45318213,99
65271817,29
94843322,14
49292533,91
49524514,98
62553587,23
86159225,2
50763369,102
49466136,29
44447534,274
10047020,5
58967099,93
50239383,1
156274214,107
47939772,41
55025533,139
29861432,23
49078163,201
49449099,36
48513979,31
47581807,18
44162244,83
43413818,73
11827180,86
93754138,2
50068294,58
48645219,80
49317168,3
64650682,3
49288150,30
45818314,30
11129518,52
49307104,13
48936353,39
39492543,6
61817722,51
10115294,8
47635910,147
19548281,14
14506158,1
56316557,3
97133400,21
60724318,109
56784207,3
49319281,85
49736959,68
44030479,78
62655006,2
49297136,90
50103049,35
55187096,101
17438188,42
50044274,189
10464046,3
62603473,101
49307272,115
51267069,69
116787049,36
9205845,13
51090055,58
18104521,7
17623000,19
28303166,37
49746315,12
69766748,7
43881738,200
50502442,238
7520951,16
48694876,51
50055835,67
129290939,6
15515537,3
45310071,39
13385782,6
139553698,32
49287037,90
49440015,213
50039769,454
108731303,17
153412508,6
19750462,115
85100273,48
47977319,25
43537733,16
71306209,17
49288447,17
7754468,43
49286609,106
66330291,2
41331366,65
49554250,85
50048921,42
50038019,75
36712168,1
48256709,5
49283431,34
50148955,81
10227320,48
49793614,37
71299955,14
49744076,6
23389829,32
103270871,14
107181208,4
102299407,25
55233977,262
49344560,67
49233722,123
9644172,34
49490219,31
9502364,25
50068016,60
72083976,8
43877911,70
82510203,6
44159098,11
43261533,145
48386937,109
23183733,44
26378362,216
14548455,53
55221976,115
21608888,32
50195204,385
66510683,24
49441655,30
30052141,10
7557451,119
49305575,24
45763457,9
9377658,139
123855600,38
50083973,406
36965598,20
50781385,85
9491243,13
45868985,19
49287531,33
65886800,70
19182116,87
27387273,110
48712943,118
46539342,1
49277438,211
48656124,3
21930319,52
52299481,18
9821599,93
9910597,27
48114326,1
48289987,3
49298892,14
50721221,9
47508433,97
22919400,65
38884179,8
56141252,5
50428303,42
51118444,84
44903295,6
62026121,10
50057671,14
49290627,76
135467222,81
87261634,4
98743362,106
49489412,109
144888299,6
50039143,50
50392877,104
130046336,1
47855255,18
60554559,77
49937271,75
68744697,7
88198157,17
67302683,2
50262145,77
45300523,111
69562909,37
49434978,5
51412627,64
48808184,76
50495170,97
94183123,68
18682435,36
27182552,63
48026315,6
41968512,3
10369485,24
49454329,7
55757659,2
17976414,28
86852220,4
148245698,18
42987593,22
48739726,75
50447117,136
150004046,3
43737265,124
49666148,13
72864946,4
38266319,11
82152122,21
56677072,1
9797516,20
49793722,4
49935753,63
56710075,8
81326023,55
55221855,120
45921413,13
50121836,26
41576025,31
10012563,166
49686816,52
21897961,45
80525214,5
51425613,1
49355353,16
37203607,8
15920795,3
47745227,5
43412057,337
12473842,19
47825943,30
49461309,7
49723523,27
20794894,185
129052068,1
42870446,8
43198741,2
42834802,37
47798121,59
73424404,14
4816594,25
35980131,12
36058816,28
38403961,45
48071975,44
37616896,80
45358577,131
16729044,78
14473893,60
48743064,19
49520574,23
45077002,30
45368167,99
21273855,21
45570625,11
4151163,27
16817390,135
10989453,84
47657152,24
92540172,119
2083526,33
148891614,87
114971159,28
22549863,8
49162339,53
33721263,22
49584843,9
30522029,18
10060547,19
67639546,6
142169,21
49426800,129
98814849,52
41377508,3
10092396,50
45495018,147
57439320,30
49438514,11
49469046,19
78158629,1
8199519,42
49665525,23
13735521,63
49639673,26
49440442,33
11509967,24
29788082,57
45441794,120
49440318,258
33638501,18
13187997,104
20316184,43
25986178,105
43304544,22
62895802,50
104591372,3
60790072,200
60358535,62
83358496,114
2353905,7
93910569,174
121955094,70
25125053,37
37453240,17
34093981,96
35197840,47
75918251,194
28335,42
62005989,9
130711139,61
17408397,34
79744109,157
68201197,114
70462680,26
101249360,16
27619873,26
11280369,149
4860969,97
51938914,24
129273200,30
12029561,34
92500333,100
51197951,38
8036851,38
93562945,30
48019116,53
107048777,3
41574767,61
13481406,68
82688766,68
8140200,110
7619470,65
17781635,89
74044471,66
33636121,21
11217135,39
1591539,17
142074796,13
60462872,33
74842785,126
63815732,21
1710077,80
7420287,39
2117483,31
27989462,11
105357596,126
18556491,19
23210587,23
32210716,67
29417984,51
54230850,37
41823908,12
60360910,8
28012433,58
50719682,139
144233472,74
9611747,22
12961062,45
60505291,183
136534947,43
100507898,9
11254581,101
12735134,46
133503595,5
30476856,13
7544977,2
21222204,34
68187084,20
26313150,1
92631122,150
122383504,25
28341079,59
26129308,4
7263687,22
10277698,178
11344116,146
58369133,12
60670362,38
69474696,27
45505730,8
70140554,22
69305297,94
87691332,47
42795826,18
61347074,28
50852217,74
118278854,4
139652522,14
28887799,11
25857355,52
60577543,87
28932884,29
141023723,120
39160943,90
7543913,135
20883179,22
107156134,31
40188046,67
29288386,80
24207630,11
28156725,75
145288116,43
28948108,4
154422737,99
14847636,110
9803066,43
7901679,48
60882328,33
18398375,80
117990481,62
1713985,102
16590251,81
7529874,31
7765061,351
60561424,21
22144979,34
24452075,79
63182742,2
90800703,3
71463327,73
155153536,91
31694534,4
146602887,3
22621611,27
23041400,77
117745110,16
97854992,14
26726919,61
68380058,120
7573677,6
118918048,48
23021789,14
47617052,18
29835420,42
137248928,120
34161051,53
60411293,11
97461976,182
8012725,56
22137547,35
62708857,7
105876250,44
31799810,33
60899302,39
30069965,60
60494605,45
91792176,6
13397743,110
24604555,233
95444993,14
9877679,145
112221699,22
124398173,307
3019384,18
84007675,74
85589486,19
50796066,18
144116444,148
30494716,14
39398411,81
17551190,31
146339249,123
15622643,28
16287696,39
83816082,51
54432664,14
13666966,11
26103453,42
114691110,375
30861728,30
14613819,97
47893247,41
18403715,12
25401831,29
14785783,50
1002699,59
8610205,118
19119008,16
131092939,286
20647981,21
7917141,17
151810897,31
33627914,94
21222418,42
44722665,141
43822454,85
295159,8
9822482,19
158122646,55
47503132,147
98756086,86
14259035,39
38966235,83
29228731,11
16906357,53
116788953,12
155392311,9
66998295,6
52552131,16
25915878,32
155591337,82
60322622,47
79081168,206
57008356,18
71453462,173
48355236,1
28179472,47
51612143,87
92502222,33
43774542,29
146886979,128
443856,20
37904225,82
131730758,10
17872835,67
12191160,165
74146995,15
13737872,61
90055123,4
25912872,148
61368325,23
149266415,12
9698225,69
23808087,69
60516092,86
27773424,55
23903756,54
25898705,66
19993570,71
142829288,9
23091883,12
35891095,68
76341010,10
53900024,2
21333142,19
75976797,6
60372212,30
66909208,4
55238560,49
153180040,100
28499740,98
29528096,49
58888610,28
79581116,66
43719596,59
16668195,231
40312770,1
45096665,65
53354342,42
48551510,63
50730681,106
18309342,61
52280517,3
142598446,24
67135007,9
7852593,22
5198948,47
1424850,14
14103197,34
59380952,45
138780585,6
48264568,39
16255197,22
9251813,87
36768274,46
7643859,72
32824656,21
26892729,57
8192235,7
7783728,17
105860963,11
142310214,46
63326593,31
67679060,140
56258523,15
70562532,46
28574172,14
29558353,33
50642174,113
136582995,66
13131472,31
1053961,33
24420313,149
50913187,67
11094099,30
8656983,25
7958015,18
14817855,26
29620105,72
25873267,33
134995111,3
54113072,35
46987377,253
3551410,64
13982847,83
30503621,117
24409689,30
17116931,122
86947451,52
14019351,85
134952096,59
5215329,16
44800887,101
60414860,60
51457797,82
55180225,209
21164762,244
18040090,9
19576360,10
12295147,94
41239968,90
79742348,1
74232408,10
49073515,457
28233356,61
18382943,14
8140277,47
8046557,52
28848321,126
45400631,46
123029531,43
43412865,31
18337296,383
5758862,61
24037074,47
28726472,55
57453073,22
60809153,53
8667864,35
23949482,6
70440585,9
20120172,41
128183986,26
26889559,48
290862,8
44905198,84
16232484,20
60660834,14
60361002,113
139503699,6
36670698,37
40966830,34
4163445,98
54692302,44
79682643,40
29060006,44
119720600,78
60358111,71
28859284,215
65112783,3
40460907,26
7559054,19
44215365,110
85729451,157
66587864,14
125361749,50
39841568,6
79344663,98
41691992,10
147349141,41
23731236,55
12996335,61
11003200,140
29482396,28
42124232,71
25956955,5
25423611,17
34718721,122
77501358,116
28203369,84
53777108,54
5674686,59
148581096,64
7405927,14
24564063,76
67549807,94
25141321,115
61171467,31
18713055,134
16334799,170
48557209,110
82227988,44
29598861,56
66981090,63
3647003,288
24135528,14
3505640,37
28428822,8
24823750,87
39000664,63
142911235,102
60430308,24
59520763,59
60300187,2
45383227,7
134259305,148
13656372,45
96396887,3
64441906,84
60551939,60
82405495,1
60473962,32
16005580,53
35237072,23
93396395,36
46862720,36
31981565,30
134935935,105
27091137,6
25875414,62
9137668,119
29436301,99
47852568,12
35496745,36
43805357,26
95568205,167
7852328,8
84577554,14
23489475,19
124025386,106
155951412,28
6818752,14
119362819,23
8514267,53
111153067,34
28692186,5
140419245,2
84096050,54
50833181,1
125920760,7
148023208,140
19873099,222
130232591,31
1244294,49
83862138,2
29422172,59
1274955,27
273298,1
15087380,95
137113117,3
95361916,44
50686703,39
10986079,51
17016343,78
81069899,10
5745291,3
39035840,6
5965200,48
19534979,54
121346040,8
1559705,72
13373765,25
13378992,153
16761217,80
16346279,15
86438521,8
108530468,70
9958890,125
46268679,30
116361364,75
47247911,19
1010581,40
60501737,13
52115018,34
47712705,144
8722014,102
26854224,91
95430898,117
15342112,209
32924646,42
90325282,50
42724499,58
20899685,20
34051760,29
55532645,122
33132219,18
28733080,79
22131241,51
14056027,74
875587,125
7743312,86
130517246,37
2573677,33
34408052,159
25972771,50
13631144,46
4181624,56
38716648,13
3637645,19
19064127,66
9145796,31
21713675,16
451798,38
152548459,30
67792615,69
108889808,3
60508743,2
130000665,46
73356971,140
15806292,78
93243694,3
89504938,12
35628381,69
43288040,27
32929056,15
35758283,28
93082938,159
40239465,2
30123014,45
85658698,79
60729688,47
149989113,30
20106321,93
119935552,14
61127061,9
54882065,10
4405531,69
58552285,66
21368813,84
131835109,44
6891315,38
95246388,9
71461267,61
7514360,12
51117278,39
24351144,2
21345970,14
4824619,10
11458544,378
60302967,45
71444147,60
131324185,7
16718609,92
88942117,19
132751622,2
59216836,14
32109048,411
23026966,7
46789588,4
25912626,1
69457149,9
1170093,62
92348589,70
22405160,20
25251418,235
29025877,13
73418299,64
42133440,9
28797572,146
9990265,74
27761536,21
18114625,52
40578150,2
41818557,6
16408435,65
24613314,13
60339542,16
41160076,15
62046959,48
72582521,111
148495169,23
37708418,22
60784339,46
41769799,30
28815971,17
108237091,15
2297440,33
47280906,53
10900361,11
54362641,89
60588501,76
83324209,2
16636915,11
85572907,11
14486966,64
53299276,43
26543939,239
29164294,142
126848354,25
135923281,245
38246045,146
38932295,9
48838146,6
113449261,5
129091025,71
55180599,15
81564934,18
23658476,12
11387408,24
10002466,57
2810819,47
13488570,48
16822178,75
11496207,82
41487546,38
124062616,53
14147334,1
97158479,3
60503442,58
7588508,6
60166458,7
52556716,15
21533102,5
27748620,20
141932037,55
15719371,24
144494690,196
35404947,4
70588128,35
27977526,56
13940959,259
49467350,24
96565236,4
34110067,133
68411405,54
28648198,20
9442248,158
20962769,81
61599125,80
27979959,14
135177674,7
60944615,99
11013709,57
131449534,12
60511768,91
50323904,128
34317072,33
155644486,148
47220534,430
11332663,37
60421332,73
71479925,103
33259999,28
49741297,36
60334224,56
88983611,100
45275265,25
29755241,34
68858814,2
68388930,25
129211220,339
29307975,128
8806587,86
25515408,18
26037545,12
111563407,39
50051698,2
43637023,2
146764633,60
8002391,24
60785518,31
60352276,72
9079115,13
43756461,34
30529823,6
84417282,17
14719799,53
86660209,414
62276785,21
55055338,38
7609462,13
92575469,6
103245316,52
26121367,17
82785153,22
124048493,20
60332786,59
70614897,115
25942351,77
66362948,40
74946940,23
11101742,41
43359256,85
16620989,113
37421982,1
104768105,337
36911958,11
10779146,87
28617783,77
10038369,18
71194995,180
20131794,30
29225547,102
45743272,40
93047657,5
6331416,2
52659901,49
29738822,14
148455786,8
39850152,118
15808844,11
90660099,3
71451439,20
60559367,6
20977638,62
9793033,36
64876102,17
60469432,32
28808558,22
15158932,54
60920053,21
38905132,95
73127973,104
30911344,2
39442105,16
41276051,67
149637902,81
36210342,22
70743822,169
105552145,2
73812798,28
39224078,134
13064665,12
108749984,125
59549942,101
13190405,7
33359156,34
127940413,61
60747951,40
138644247,1
1343908,90
59462568,10
31288493,24
46225949,167
84527408,17
16396603,21
20529085,192
44663997,53
31255429,45
50733814,261
157319,25
21701327,6
128075136,40
1740218,5
7900179,55
1954278,110
13929341,37
39435502,88
144237521,66
25848428,98
1926591,36
29236320,88
91151477,6
39896716,61
67377939,30
44410526,75
10280830,28
755443,6
108269066,22
5975170,57
158183237,15
26204674,27
14729862,26
60929242,2
60298370,23
31557299,64
35026489,18
71591904,255
17068757,71
13631705,110
20096326,51
17256896,9
8014122,44
36878143,28
102740573,18
29410090,50
48093503,40
16962150,115
43101097,12
113995023,68
21006537,59
55804406,154
26598197,98
41609148,115
37582803,34
21065295,6
29147679,40
24106123,24
26127265,132
16403418,81
44878944,50
13480127,49
6935215,75
37168440,23
43273505,8
42228142,27
34113228,27
40245832,51
12216423,22
69478023,7
30381165,129
49625592,101
29731304,12
35169531,44
46650866,57
61110112,3
51185801,61
2085322,49
54344446,106
65297052,32
62509452,81
30210375,19
99365866,49
54071231,50
106630044,1
90895919,23
129173789,68
9506961,186
54306528,133
149213263,23
60575334,49
35262173,47
3524606,5
155125102,102
24058899,61
38590506,194
71467819,93
42606218,47
75937363,15
50866699,41
122573196,21
28386959,24
112977759,99
15653831,5
25328912,42
3599043,12
39390028,8
92513447,49
112235948,44
21514896,165
108421874,13
66811046,12
60333789,94
128913157,81
35647316,44
39736023,30
35926304,84
12334122,211
8720129,37
60918965,202
59153367,105
127202410,4
111032486,12
96479397,66
75025447,58
13172753,39
19954099,35
34009846,63
47168715,44
61824773,36
33596107,41
8045608,138
23675268,13
72590514,145
37912140,6
11073853,13
47937635,18
23876742,49
130174392,34
144578304,22
61265941,9
131358336,75
23897547,13
45855205,27
24683186,19
71701791,80
19290529,193
73364337,87
11572241,138
67083926,49
3598007,13
24084520,53
60784937,8
60624620,52
62445849,8
70092924,16
105142407,33
14181865,105
61254373,63
1585173,19
107378059,20
122537415,8
47585956,331
13151747,57
35001062,262
25880097,45
105583763,81
16447236,39
122927441,5
26444337,47
13501978,58
72792469,118
40090618,105
60296418,5
42624123,4
44419408,9
24304347,59
60299044,23
141770481,22
132983709,10
29041868,67
82038815,1
68429571,2
92526325,31
37708476,197
116984480,28
7529774,72
8713613,30
51301621,4
42352024,33
24624248,105
13193236,63
110473542,18
