topic_index,keywords
0,"{'game': 11785.606596828364, 'play': 2990.229844767734, 'steam': 2120.8341256053595, 'just': 1527.8739791449918, 'time': 1355.286144402821, 'work': 1171.4257505143632, 'update': 1052.6988172857398, 'buy': 1025.8969372190072, 'don': 925.5161752530715, 'fix': 904.8684526838415}"
1,"{'game': 14317.618560229996, 'like': 5181.322768505749, 'just': 3972.3807659996587, 'time': 2909.306710141374, 'really': 1956.8917624874243, 'new': 1910.1781212748929, 'play': 1812.2961772560818, 'fun': 1810.8752214825665, 'early': 1803.7777062213584, 'good': 1785.4736534913143}"
2,"{'game': 33433.77484294138, 'like': 8158.223247554806, 'good': 7097.722595245968, 'just': 7066.745254855007, 'really': 5751.060838598725, 'fun': 5517.636891695439, 'great': 4597.7978335090775, 'play': 4533.473977975858, 'games': 4425.848580531802, 'time': 4351.407145455501}"
