recommendationid,length
51171015,1.3979400086720375
48434843,2.9334872878487053
49730158,2.7831886910752575
149973515,1.8692317197309762
149618805,2.0681858617461617
136210293,2.982271233039568
122210273,3.493179120682515
73172855,2.737192642704737
70648654,3.0948203803547996
61970317,2.9190780923760733
51311396,1.8692317197309762
48910893,2.80413943233535
48593037,2.9604707775342987
155953357,2.5490032620257876
152707755,2.5658478186735176
152564110,2.9712758487381046
131784587,2.5024271199844326
129736529,2.8926510338773
77062612,2.580924975675619
75121868,3.3293978793610424
72254456,2.9818186071706636
71431621,1.6334684555795864
58966464,2.726727209026572
54606597,2.7649229846498886
50551203,2.56348108539441
50448182,2.80413943233535
48956290,3.266936911159173
48890682,2.3996737214810375
48760443,2.5705429398818973
48749568,1.6720978579357173
48739417,3.3138672203691533
48738476,2.008600171761917
48727369,2.3242824552976926
48720263,3.3312247810207323
48713451,1.2304489213782739
48686370,2.3283796034387376
48685420,2.4969296480732144
48668298,2.6148972160331345
48659268,1.5051499783199058
48658638,2.4297522800024076
48657677,3.0073209529227443
48656859,2.5237464668115646
124571898,3.5202214358819597
120015695,2.875639937004168
106132667,2.394451680826216
72639078,2.9518230353159116
69162968,3.18098558078673
63829088,2.704150516839799
54750070,3.3308194664958366
160300903,2.826722520168992
153260195,1.7075701760979363
153022362,2.1205739312058496
152953165,2.75815462196739
92124344,1.041392685158225
73589538,1.1461280356782377
69790774,1.3424226808222062
65213001,2.9350031514536545
64754166,2.551449997972875
55169123,2.9537596917332283
50042003,2.123851640967086
49543791,2.649334858712142
60455687,2.342422680822206
160177517,2.252853030979893
153737898,2.408239965311849
129063597,2.0530784434834195
128756732,2.271841606536499
128698240,1.6720978579357173
128687152,2.0530784434834195
50689328,2.477121254719662
161811420,2.421603926869831
158903157,1.1139433523068367
158686750,1.8633228601204557
151360402,2.8555191556677997
143325892,3.229425847920695
142098576,2.117271295655764
142096678,1.556302500767287
141433986,2.803457115648414
140946414,3.144885418287142
140438264,1.4771212547196624
138591256,2.9153998352122694
138122084,2.4533183400470375
137878645,2.8182258936139553
137303055,1.9822712330395682
132957275,2.678518379040114
132822300,2.800029359244134
131715210,3.035029282202368
130416594,1.57978359661681
128562102,1.380211241711606
127916173,3.3220124385824
127335136,2.9111576087399764
125553130,2.770852011642144
123826303,3.6167904863297156
123382290,2.8135809885681917
122000424,1.6334684555795864
121704297,2.814913181275074
120930726,3.7808211758534727
120532395,2.2671717284030133
119847123,2.041392685158225
119584091,1.301029995663981
119383240,3.1616674124377355
118962420,1.7923916894982537
118951874,2.9717395908877777
117741036,1.5682017240669948
117461277,2.742725131304698
116687813,2.8109042806687
116451122,2.3138672203691533
116440824,3.5113485154902127
115870155,1.8808135922807911
115743386,1.9542425094393248
